Age,M,F,year
15-19,3690661,3576411,1990
90-94,15092,55403,1990
85-89,61257,160334,1990
80-84,140419,286048,1990
75-79,280153,466721,1990
70-74,422587,598369,1990
65-69,606752,795053,1990
60-64,745074,911688,1990
95-99,2445,12954,1990
55-59,936204,1094809,1990
45-49,942741,1055819,1990
40-44,1166737,1273256,1990
35-39,1906896,1926684,1990
30-34,2535566,2535533,1990
25-29,2988850,2945693,1990
20-24,3324372,3242854,1990
10-14,3946952,3788721,1990
50-54,910802,1041942,1990
0-4,4696444,4445593,1990
100+,232,1709,1990
5-9,4333047,4119978,1990
90-94,18377,63458,1991
95-99,2926,14724,1991
85-89,65403,166858,1991
80-84,149641,298735,1991
75-79,287068,473286,1991
70-74,434911,615915,1991
65-69,614548,807925,1991
60-64,766553,937985,1991
5-9,4404734,4184697,1991
50-54,897533,1028303,1991
45-49,955342,1072205,1991
40-44,1275038,1372527,1991
35-39,2042201,2058181,1991
30-34,2628590,2630301,1991
25-29,3044872,3001098,1991
20-24,3376914,3293988,1991
15-19,3733005,3615826,1991
0-4,4739089,4488464,1991
55-59,933040,1093671,1991
10-14,4006069,3840740,1991
100+,268,1946,1991
0-4,4775631,4525758,1992
100+,310,2214,1992
5-9,4472659,4247405,1992
10-14,4073381,3899991,1992
15-19,3769255,3648484,1992
20-24,3434998,3350909,1992
25-29,3092007,3047076,1992
30-34,2711910,2713901,1992
35-39,2165617,2184169,1992
40-44,1411592,1494586,1992
95-99,3664,17181,1992
50-54,891007,1021307,1992
55-59,918296,1078900,1992
60-64,796113,973558,1992
65-69,619079,815493,1992
70-74,449890,640100,1992
75-79,291632,476461,1992
80-84,159111,313819,1992
85-89,68004,170771,1992
90-94,21249,70179,1992
45-49,971692,1094129,1992
55-59,896596,1055619,1993
50-54,890660,1020864,1993
45-49,999326,1127002,1993
30-34,2785659,2786765,1993
35-39,2277660,2303134,1993
60-64,827613,1011228,1993
25-29,3133380,3086349,1993
40-44,1565343,1631603,1993
65-69,624034,822249,1993
90-94,23567,75853,1993
75-79,295729,479765,1993
80-84,167645,329269,1993
85-89,69662,173564,1993
95-99,4326,19424,1993
100+,357,2510,1993
20-24,3495808,3410716,1993
0-4,4794750,4546484,1993
10-14,4145376,3963200,1993
70-74,465718,667311,1993
5-9,4534523,4306056,1993
15-19,3804469,3679142,1993
10-14,4219097,4028049,1994
15-19,3847340,3716090,1994
20-24,3554774,3468097,1994
25-29,3175494,3125476,1994
30-34,2851303,2851045,1994
35-39,2381810,2414665,1994
40-44,1719592,1772064,1994
45-49,1050055,1179383,1994
50-54,895061,1026126,1994
0-4,4770712,4525671,1994
55-59,875668,1032598,1994
65-69,634723,835136,1994
70-74,480157,692695,1994
75-79,301615,487834,1994
80-84,174075,342493,1994
85-89,71421,177799,1994
90-94,24837,79987,1994
95-99,4628,20725,1994
100+,411,2831,1994
60-64,852070,1040478,1994
5-9,4588628,4358506,1994
5-9,4632019,4401094,1995
0-4,4686864,4447057,1995
40-44,1863466,1908372,1995
85-89,73631,184858,1995
80-84,178315,352690,1995
75-79,310303,502834,1995
70-74,492510,713936,1995
65-69,653657,857596,1995
60-64,864387,1055278,1995
55-59,860552,1015663,1995
50-54,904083,1037142,1995
45-49,1130449,1256088,1995
35-39,2480079,2518076,1995
30-34,2910190,2908261,1995
25-29,3223329,3169883,1995
20-24,3609407,3519819,1995
15-19,3902581,3763822,1995
10-14,4292788,4093599,1995
95-99,4344,20552,1995
100+,471,3176,1995
90-94,24767,82474,1995
45-49,1234962,1353275,1996
10-14,4360483,4155520,1996
15-19,3957799,3812957,1996
20-24,3653888,3563478,1996
25-29,3278844,3224214,1996
30-34,2962818,2956990,1996
35-39,2567993,2607815,1996
40-44,1993128,2037484,1996
50-54,914847,1052085,1996
55-59,846838,1001477,1996
5-9,4663378,4432061,1996
60-64,858696,1052089,1996
70-74,499808,725022,1996
75-79,321223,518352,1996
80-84,184505,358567,1996
85-89,80386,195627,1996
90-94,27454,88201,1996
95-99,5340,23720,1996
100+,537,3535,1996
65-69,672966,881210,1996
0-4,4586142,4353024,1996
95-99,6757,27925,1997
90-94,29059,90880,1997
85-89,86766,207176,1997
20-24,3697285,3604453,1997
80-84,188987,362095,1997
0-4,4387668,4163591,1997
5-9,4691619,4460458,1997
100+,611,3920,1997
75-79,334072,539957,1997
15-19,4027970,3874277,1997
65-69,700277,915202,1997
60-64,844521,1038112,1997
55-59,841333,995543,1997
50-54,930976,1074297,1997
45-49,1369188,1475148,1997
40-44,2115229,2164386,1997
35-39,2651855,2690603,1997
30-34,3013124,3002533,1997
10-14,4431427,4220786,1997
25-29,3345261,3290462,1997
70-74,504819,732604,1997
10-14,4498961,4283231,1998
50-54,959215,1108476,1998
45-49,1521544,1613250,1998
40-44,2229143,2286005,1998
20-24,3741569,3644582,1998
30-34,3062051,3046509,1998
25-29,3415805,3361447,1998
55-59,842384,996717,1998
35-39,2729848,2765277,1998
60-64,825836,1017445,1998
90-94,30238,92720,1998
70-74,510315,740208,1998
75-79,347319,564418,1998
80-84,192822,365979,1998
85-89,91858,217734,1998
95-99,7899,31300,1998
100+,697,4341,1998
5-9,4708227,4478448,1998
0-4,4131265,3917417,1998
65-69,729536,952325,1998
15-19,4107923,3943428,1998
20-24,3789084,3686258,1999
10-14,4556653,4337024,1999
25-29,3479560,3425420,1999
30-34,3110377,3090738,1999
35-39,2798682,2829903,1999
40-44,2334399,2398049,1999
45-49,1673339,1753725,1999
55-59,847197,1002578,1999
60-64,808196,996710,1999
65-69,751573,981141,1999
70-74,520039,753053,1999
75-79,358726,586884,1999
80-84,197164,373322,1999
85-89,95328,226430,1999
90-94,30887,94357,1999
95-99,8277,32677,1999
100+,799,4812,1999
15-19,4188044,4012498,1999
50-54,1009470,1161343,1999
0-4,3884635,3680108,1999
5-9,4696395,4470016,1999
95-99,7621,31604,2000
100+,919,5339,2000
0-4,3694415,3496341,2000
5-9,4638735,4418047,2000
10-14,4602513,4380593,2000
15-19,4261811,4076287,2000
25-29,3531222,3476270,2000
30-34,3158967,3136713,2000
35-39,2857041,2884072,2000
40-44,2430493,2497688,2000
20-24,3841846,3731449,2000
50-54,1086945,1236422,2000
45-49,1812375,1887154,2000
85-89,96870,232431,2000
80-84,202536,385502,2000
75-79,367462,604942,2000
90-94,31181,97158,2000
65-69,761558,995059,2000
60-64,795040,980491,2000
55-59,855159,1012549,2000
70-74,535773,773818,2000
35-39,2923795,2937481,2001
0-4,3441265,3248381,2001
5-9,4541307,4324395,2001
10-14,4653418,4429566,2001
15-19,4338598,4147608,2001
20-24,3906791,3792050,2001
25-29,3587563,3531761,2001
30-34,3226628,3197389,2001
40-44,2531506,2594684,2001
95-99,8429,33688,2001
50-54,1189182,1338585,2001
55-59,862524,1028426,2001
60-64,780774,967636,2001
65-69,755618,994496,2001
70-74,554728,800099,2001
75-79,375876,616783,2001
80-84,213182,401002,2001
85-89,102550,239219,2001
90-94,35559,106291,2001
45-49,1950196,2026443,2001
100+,1065,5962,2001
0-4,3344813,3153492,2002
75-79,379893,623317,2002
100+,1229,6631,2002
95-99,9525,36152,2002
90-94,38995,113245,2002
85-89,106194,242471,2002
80-84,223569,418793,2002
70-74,576172,832365,2002
65-69,738881,979126,2002
60-64,769654,958037,2002
50-54,1318172,1461668,2002
55-59,871197,1048339,2002
40-44,2617362,2671567,2002
35-39,2974537,2974956,2002
30-34,3288614,3257142,2002
25-29,3623674,3568693,2002
20-24,3968381,3847776,2002
